,shrinkage,interaction.depth,n.minobsinnode,n.trees,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
60,0.21506828,3,11,2099,17.85800598,0.29363371,13.77579344,4.892412643,0.245201836,3.660186281
33,0.10206999,2,13,2423,17.89427827,0.323643276,13.55140073,6.502120754,0.23346372,4.101313248
55,0.194109316,7,12,2993,17.98942042,0.304774833,13.75059113,5.107201355,0.234868977,3.514187278
105,0.328448371,2,12,1383,18.02969856,0.294634176,13.84897128,4.998440352,0.237517738,3.502663866
118,0.361250635,8,12,1473,18.0770482,0.312163797,13.81720333,5.211609131,0.234180975,3.673837136
145,0.417897972,1,16,215,18.19478953,0.202796684,14.04035713,5.478443238,0.198506883,3.829456964
92,0.297521877,4,10,3983,18.2444386,0.297092376,14.0733214,4.905839061,0.247221278,3.677898097
25,0.075746191,3,17,3320,18.27843983,0.219970038,14.2993238,5.419968925,0.192137253,3.89558994
28,0.082673613,7,16,3351,18.27896702,0.254437464,14.1468896,6.000401819,0.211337457,4.083255535
187,0.550561027,10,10,1591,18.37864533,0.286760988,14.32700814,4.841937773,0.223389026,3.74569036
82,0.279477657,2,11,4691,18.41775761,0.295670947,14.27504265,4.904521875,0.234884471,3.763751441
64,0.225793681,7,16,1756,18.48264463,0.259106687,14.34396584,6.078450773,0.224635308,4.211210121
19,0.06139853,5,17,4822,18.48323862,0.215738567,14.51444677,5.465806063,0.197515458,3.938525353
106,0.329723421,7,11,4969,18.57975629,0.26810433,14.46267724,4.797490602,0.227888962,3.733501806
147,0.426919088,5,10,4791,18.57994276,0.280123455,14.56011146,4.76720968,0.245297091,3.689976759
126,0.369853883,8,11,2450,18.70098853,0.276803282,14.44001958,5.138918592,0.230143522,3.909898743
146,0.422413651,1,10,1349,18.74769772,0.314042654,14.88792244,5.092410877,0.238565856,4.062991253
168,0.485588018,3,10,3491,18.76987496,0.276888716,14.6092055,4.765241743,0.246746481,3.630785007
131,0.389400314,6,12,4415,18.77584472,0.294323857,14.54818611,5.119777131,0.22373714,3.783845006
141,0.413649764,6,11,1965,18.79090212,0.281948789,14.44314893,5.106998953,0.244273864,4.087112588
178,0.518076619,2,10,2717,18.82881496,0.290493646,14.47620576,4.868702594,0.237039987,3.953561121
130,0.380550382,3,11,4929,18.85117319,0.270987341,14.7008782,4.918609495,0.247053911,3.937402634
104,0.325742566,9,16,1157,18.88301711,0.252857836,14.67400639,6.09083243,0.213711085,4.155549851
182,0.526667315,10,11,2013,19.0398723,0.268393028,14.77076413,5.440610894,0.237803848,4.110313889
113,0.344508675,10,17,1508,19.08259625,0.221607931,14.95568466,5.850149874,0.205955582,4.305788252
171,0.49437939,7,10,3977,19.15355877,0.277533193,15.09754361,4.806732528,0.232739207,3.930716892
181,0.519830483,5,12,3156,19.21201478,0.270441595,14.91242043,4.754257157,0.213401708,3.716551383
158,0.467071991,7,13,1017,19.22206385,0.306012933,14.7737591,6.7379802,0.238567536,4.546643453
101,0.317617055,5,17,3316,19.25800898,0.226161823,15.08421007,5.936646896,0.206319121,4.438783195
188,0.553481965,4,11,4304,19.61462515,0.258904161,15.26581192,4.987475326,0.224090496,3.869402185
94,0.301752775,5,16,4483,19.70129354,0.262729813,15.12440395,6.360432536,0.220842433,4.286090606
152,0.445393765,1,13,1283,19.83395181,0.293769831,15.04301258,6.617905824,0.235130148,4.314361525
166,0.481514563,4,16,2596,19.83977745,0.270265731,15.23465121,6.351172009,0.215831197,4.07455602
144,0.417408799,2,14,1751,19.85738843,0.29659763,14.95447779,6.937288521,0.227966544,4.43183327
142,0.413792709,3,14,2127,20.16691355,0.284467135,15.25762672,7.049711898,0.23267258,4.567547287
93,0.298515623,5,14,2908,20.35515996,0.274476131,15.53907566,6.856452328,0.232033799,4.493147817
199,0.573484085,8,16,3093,20.65840809,0.260116748,15.83418744,6.779654476,0.212042889,4.790535112
86,0.283034938,6,13,4276,20.95534705,0.280888895,15.96531288,6.923737055,0.235981738,4.649917688
200,0.596597917,5,14,2229,21.10841313,0.301608626,16.05395874,7.234487749,0.236181543,4.860921789
189,0.553562128,6,15,2942,21.12912609,0.276846279,15.99806673,7.347212516,0.236217892,5.011642726
173,0.501326378,3,17,4860,21.19757615,0.23556206,16.31036329,6.678252518,0.201134629,4.746073949
122,0.364418129,8,14,3785,21.26923473,0.274515289,16.19685709,7.080391401,0.226451554,4.530613024
177,0.516645556,7,15,3211,21.30094292,0.270291044,16.29259261,7.27410221,0.225853485,4.960066373
193,0.557705602,1,12,2764,21.70084549,0.248550311,17.0063919,6.132598508,0.229058698,4.701156901
191,0.556795052,7,13,2671,21.9714721,0.265099614,16.89363323,7.066145261,0.232986705,4.92255028
136,0.404029688,10,14,4924,22.3659196,0.257918704,17.1069301,7.412967931,0.222289355,4.995834668
