,shrinkage,interaction.depth,n.minobsinnode,n.trees,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
50,0.031207433,7,11,1475,14.48421659,0.292184083,10.73021534,6.598555793,0.283219438,4.152840658
543,0.317623379,10,8,1653,14.50289644,0.324104427,10.91020485,5.473577761,0.220303055,3.887675654
561,0.330182051,7,7,619,14.50410254,0.313089585,10.95395539,5.193596791,0.196794992,3.517299308
504,0.286453425,10,8,4519,14.52049244,0.300810027,11.42166203,5.488643417,0.284390899,3.792296472
420,0.241471184,6,8,2463,14.5362582,0.298881554,10.95774631,5.343480944,0.244249485,3.883419434
586,0.349489169,3,5,1130,14.54243467,0.32308137,10.94200007,5.491686282,0.263099754,4.57607396
383,0.220264959,6,7,2718,14.54757149,0.296854753,11.19172367,5.045522837,0.218272364,3.644358886
589,0.349996678,8,5,846,14.54805596,0.319485255,11.46252213,6.120267796,0.228296796,4.120619844
171,0.100247335,4,7,2613,14.55648233,0.291699647,11.01967924,5.560016303,0.196801256,4.166231137
162,0.097394368,3,9,1012,14.56733994,0.322875833,10.85221734,5.484652415,0.287286636,4.027510338
164,0.097684368,1,6,91,14.57320299,0.301988908,11.30684292,6.366077336,0.281663302,4.575421774
421,0.242040032,7,8,329,14.58729858,0.322487795,11.00601405,6.09304037,0.255975077,4.266551187
326,0.191627844,7,7,4083,14.59298582,0.296247703,11.37327657,5.224475624,0.209396436,3.482477939
78,0.051422639,10,9,2644,14.59722276,0.312670302,11.05446869,5.93866013,0.292913834,4.376357136
328,0.193200854,4,9,128,14.60401865,0.308284468,10.74500969,5.500499927,0.245956647,3.769249354
479,0.273663515,5,6,1580,14.60884786,0.294131207,11.20166091,4.672163987,0.22439879,2.939978461
764,0.453916651,4,9,3665,14.61595297,0.341870278,11.52443672,6.006897411,0.274249526,4.806711391
188,0.107631551,7,9,1519,14.61767839,0.321525779,10.82890115,5.913209144,0.271496476,4.151081634
229,0.139068928,3,7,3600,14.61882723,0.288014156,10.94099443,5.504544446,0.25471031,4.354830248
687,0.405466707,8,6,3532,14.62494809,0.299092989,11.5117727,5.36284322,0.286836834,4.052081296
462,0.263470406,3,7,4908,14.63720648,0.298194196,11.54512452,4.805679523,0.196297984,3.3560534
